"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_000008565.1","GCA_001638825.1","GCA_008329785.1","GCA_011604805.1","GCA_011604825.1","GCA_020546685.1","GCA_021378295.1","GCA_024138735.1"
"HAV23_07815","","phosphoenolpyruvate carboxykinase","8","8","1","1","2501","1","1772","","1472","1679","1608","DR_0977.p01","A2G07_08620.p01","a6679ee1dd99a76d4f263da36fcf6004_751","689a1f7569cd370648666ad3906989ad_6053","e7eb4eb1fba968f75f75040ad2de8570_6812","5974397fafb4265a64d121638449c96c_3974","DRO_0971.p01","5b1dec001b64d68f08bc514628990a75_9097"
"E5E91_01425","","YqhA family protein","8","8","1","1","1820","1","1091","","476","548","539","DR_0275.p01","A2G07_12160.p01","a6679ee1dd99a76d4f263da36fcf6004_8534","689a1f7569cd370648666ad3906989ad_3308","e7eb4eb1fba968f75f75040ad2de8570_9505","5974397fafb4265a64d121638449c96c_1116","DRO_0272.p01","5b1dec001b64d68f08bc514628990a75_6163"
"A2G07_12145","","histidine phosphatase family protein","8","8","1","1","1823","1","1094","","584","614","606","DR_0278.p01","A2G07_12145.p01","a6679ee1dd99a76d4f263da36fcf6004_8546","689a1f7569cd370648666ad3906989ad_3318","e7eb4eb1fba968f75f75040ad2de8570_9495","5974397fafb4265a64d121638449c96c_1128","DRO_0275.p01","5b1dec001b64d68f08bc514628990a75_6171"
"HAV23_04325","","hypothetical protein","8","8","1","1","1832","1","1103","","890","1043","1004","DR_0288.p01","A2G07_12095.p01","a6679ee1dd99a76d4f263da36fcf6004_8586","689a1f7569cd370648666ad3906989ad_3358","e7eb4eb1fba968f75f75040ad2de8570_9457","5974397fafb4265a64d121638449c96c_1168","DRO_0285.p01","5b1dec001b64d68f08bc514628990a75_6203"
"nth","","endonuclease III","8","8","1","1","1833","1","1104","","617","677","669","DR_0289.p01","A2G07_12090.p01","a6679ee1dd99a76d4f263da36fcf6004_8590","689a1f7569cd370648666ad3906989ad_3362","e7eb4eb1fba968f75f75040ad2de8570_9454","5974397fafb4265a64d121638449c96c_1172","DRO_0286.p01","5b1dec001b64d68f08bc514628990a75_6207"
"DRO_tRNA44","","tRNA-Ala","8","8","1","1","1836","1","1107","","72","75","74","DR_t08.r01","A2G07_12070.r01","a6679ee1dd99a76d4f263da36fcf6004_8605","689a1f7569cd370648666ad3906989ad_3377","e7eb4eb1fba968f75f75040ad2de8570_9440","5974397fafb4265a64d121638449c96c_1187","DRO_tRNA44.r01","5b1dec001b64d68f08bc514628990a75_6218"
"DRO_0298","","FmdB family transcriptional regulator","8","8","1","1","1845","1","1116","","206","296","239","DR_0301.p01","A2G07_12025.p01","a6679ee1dd99a76d4f263da36fcf6004_8641","689a1f7569cd370648666ad3906989ad_3413","e7eb4eb1fba968f75f75040ad2de8570_9405","5974397fafb4265a64d121638449c96c_1223","DRO_0298.p01","5b1dec001b64d68f08bc514628990a75_6256"
"glmS","","glutamine--fructose-6-phosphate transaminase (isomerizing)","8","8","1","1","1846","1","1117","","1820","1928","1860","DR_0302.p01","A2G07_12020.p01","a6679ee1dd99a76d4f263da36fcf6004_8645","689a1f7569cd370648666ad3906989ad_3417","e7eb4eb1fba968f75f75040ad2de8570_9401","5974397fafb4265a64d121638449c96c_1227","DRO_0299.p01","5b1dec001b64d68f08bc514628990a75_6260"
"DRO_0305","","hypothetical protein","8","8","1","1","1850","1","1121","","350","443","419","DR_0308.p01","A2G07_11995.p01","a6679ee1dd99a76d4f263da36fcf6004_8667","689a1f7569cd370648666ad3906989ad_3435","e7eb4eb1fba968f75f75040ad2de8570_9385","5974397fafb4265a64d121638449c96c_1249","DRO_0305.p01","5b1dec001b64d68f08bc514628990a75_6276"
"rplX","","50S ribosomal protein L24","8","8","1","1","1864","1","1135","","308","347","342","DR_0322.p01","A2G07_11925.p01","a6679ee1dd99a76d4f263da36fcf6004_8723","689a1f7569cd370648666ad3906989ad_3489","e7eb4eb1fba968f75f75040ad2de8570_9333","5974397fafb4265a64d121638449c96c_1305","DRO_0319.p01","5b1dec001b64d68f08bc514628990a75_6324"
