Name,Length,Sequences,Gene count,Plasmids,GC%,N50
GCA_000599645.1,4875682,1,4915,0,51.02,4875682
GCA_000599685.1,4998910,1,4848,0,50.65,4998910
GCA_000597845.1,4758629,1,4776,0,51.11,4758629
GCA_000801185.2,5045911,2,4994,1,50.65,4884464
GCA_000784925.1,5559642,4,5589,3,50.41,5310511
GCA_000599625.1,4807977,1,4824,0,51.04,4807977
GCA_000599705.1,5090442,1,4967,0,50.78,5090442
GCA_000801165.1,4995948,2,4711,1,50.71,4827630
