"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_000024845.1","GCA_000224745.1","GCA_009936255.1","GCA_009936275.1"
"RmaAA338_03570","","hypothetical protein","4","4","1","1","2829","1","2450","","863","2657","1433","179fc4b66b5fe7c86a05d012dd5a340c_1522","2124b6b02b7cef79fdc244b38ecf46bc_1464","RmaAA213_03700.p01","RmaAA338_03570.p01"
"Rhom172_0224","","permease YjgP/YjgQ family protein","4","4","1","1","2959","1","2320","","1445","1445","1445","179fc4b66b5fe7c86a05d012dd5a340c_1037","2124b6b02b7cef79fdc244b38ecf46bc_937","RmaAA213_02410.p01","RmaAA338_02290.p01"
"Rhom172_1562","","transcriptional regulator","4","4","1","1","1520","1","1330","","332","332","332","179fc4b66b5fe7c86a05d012dd5a340c_6389","2124b6b02b7cef79fdc244b38ecf46bc_6461","RmaAA213_16650.p01","RmaAA338_16700.p01"
"Rhom172_1563","","putative sensor with HAMP domain","4","4","1","1","1519","1","1329","","1850","1850","1850","179fc4b66b5fe7c86a05d012dd5a340c_6394","2124b6b02b7cef79fdc244b38ecf46bc_6465","RmaAA213_16660.p01","RmaAA338_16710.p01"
"RmaAA213_16700","","glutamine amidotransferase class-I","4","4","1","1","1515","1","1325","","725","725","725","179fc4b66b5fe7c86a05d012dd5a340c_6410","2124b6b02b7cef79fdc244b38ecf46bc_6481","RmaAA213_16700.p01","RmaAA338_16750.p01"
"RmaAA338_16760","","apolipoprotein acyltransferase","4","4","1","1","1514","1","1324","","899","899","899","179fc4b66b5fe7c86a05d012dd5a340c_6414","2124b6b02b7cef79fdc244b38ecf46bc_6485","RmaAA213_16710.p01","RmaAA338_16760.p01"
"Rhom172_1569","","Agmatine deiminase","4","4","1","1","1513","1","1323","","1004","1028","1010","179fc4b66b5fe7c86a05d012dd5a340c_6418","2124b6b02b7cef79fdc244b38ecf46bc_6489","RmaAA213_16720.p01","RmaAA338_16770.p01"
"RmaAA338_16780","","HDOD domain-containing protein","4","4","1","1","1512","1","1322","","875","890","884","179fc4b66b5fe7c86a05d012dd5a340c_6422","2124b6b02b7cef79fdc244b38ecf46bc_6493","RmaAA213_16730.p01","RmaAA338_16780.p01"
"RmaAA213_16760","","hypothetical protein","4","4","1","1","1509","1","1319","","698","725","704","179fc4b66b5fe7c86a05d012dd5a340c_6434","2124b6b02b7cef79fdc244b38ecf46bc_6505","RmaAA213_16760.p01","RmaAA338_16810.p01"
"Rmar_1517","","hypothetical protein","4","4","1","1","1507","1","1317","","3002","3002","3002","179fc4b66b5fe7c86a05d012dd5a340c_6443","2124b6b02b7cef79fdc244b38ecf46bc_6513","RmaAA213_16780.p01","RmaAA338_16830.p01"
"RmaAA338_16870","","biopolymer transporter ExbB","4","4","1","1","1503","1","1313","","716","716","716","179fc4b66b5fe7c86a05d012dd5a340c_6460","2124b6b02b7cef79fdc244b38ecf46bc_6530","RmaAA213_16820.p01","RmaAA338_16870.p01"
"Rhom172_0230","","Endonuclease/exonuclease/phosphatase","4","4","1","1","2953","1","2326","","1016","1016","1016","179fc4b66b5fe7c86a05d012dd5a340c_1063","2124b6b02b7cef79fdc244b38ecf46bc_963","RmaAA213_02470.p01","RmaAA338_02350.p01"
"Rmar_1527","","dioxygenase","4","4","1","1","1497","1","1307","","833","833","833","179fc4b66b5fe7c86a05d012dd5a340c_6484","2124b6b02b7cef79fdc244b38ecf46bc_6564","RmaAA213_16880.p01","RmaAA338_16930.p01"
"RmaAA213_16890","","hypothetical protein","4","4","1","1","1496","1","1306","","1559","1559","1559","179fc4b66b5fe7c86a05d012dd5a340c_6488","2124b6b02b7cef79fdc244b38ecf46bc_6568","RmaAA213_16890.p01","RmaAA338_16940.p01"
"RmaAA213_t00280","","tRNA-Phe","4","4","1","1","1495","1","1305","","72","75","73","179fc4b66b5fe7c86a05d012dd5a340c_6491","2124b6b02b7cef79fdc244b38ecf46bc_6571","RmaAA213_t00280.r01","RmaAA338_t00290.r01"
"Rmar_1530","","hypothetical protein","4","4","1","1","1493","1","1303","","563","569","567","179fc4b66b5fe7c86a05d012dd5a340c_6500","2124b6b02b7cef79fdc244b38ecf46bc_6582","RmaAA213_16910.p01","RmaAA338_16960.p01"
"RmaAA213_16920","","acetyl-CoA acetyltransferase","4","4","1","1","1492","1","1302","","1193","1193","1193","179fc4b66b5fe7c86a05d012dd5a340c_6504","2124b6b02b7cef79fdc244b38ecf46bc_6586","RmaAA213_16920.p01","RmaAA338_16970.p01"
"Rhom172_1595","","hypothetical protein","4","4","1","1","1491","1","1301","","533","1073","803","179fc4b66b5fe7c86a05d012dd5a340c_6508","2124b6b02b7cef79fdc244b38ecf46bc_6590","RmaAA213_16930.p01","RmaAA338_16980.p01"
