"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_000145615.1","GCA_000189775.3","GCA_000307585.2","GCA_000328545.1","GCA_002250075.1"
"Tsac_1196","","heterodisulfide reductase subunit A-like protein protein","5","5","1","1","468","1","1641","","365","371","369","ad4372dd6c0e02f4056d5abcc058849f_2343","af9d275dc4cc622cb84d6cc9ce503ea4_1964","Tsac_1196.p01","5840733bfae2da7714a13ada5e214277_2264","Thert_02214.p01"
"Thexy_0818","","Enolase","5","5","1","1","815","1","1988","","1286","1286","1286","ad4372dd6c0e02f4056d5abcc058849f_8003","af9d275dc4cc622cb84d6cc9ce503ea4_3403","Tsac_2482.p01","5840733bfae2da7714a13ada5e214277_8078","Thert_00429.p01"
"Thethe_02040","","2,3-bisphosphoglycerate-independent phosphoglycerate mutase","5","5","1","1","814","1","1987","","1541","1541","1541","ad4372dd6c0e02f4056d5abcc058849f_8007","af9d275dc4cc622cb84d6cc9ce503ea4_3399","Tsac_2483.p01","5840733bfae2da7714a13ada5e214277_8082","Thert_00430.p01"
"Thexy_0803","","ferredoxin","5","5","1","1","800","1","1973","","188","188","188","ad4372dd6c0e02f4056d5abcc058849f_8063","af9d275dc4cc622cb84d6cc9ce503ea4_3343","Tsac_2497.p01","5840733bfae2da7714a13ada5e214277_8135","Thert_00447.p01"
"Thert_02226","","putative sigma54 specific transcriptional regulator","5","5","1","1","486","1","1659","","1571","1640","1620","ad4372dd6c0e02f4056d5abcc058849f_2385","af9d275dc4cc622cb84d6cc9ce503ea4_2037","Tsac_1208.p01","5840733bfae2da7714a13ada5e214277_2304","Thert_02226.p01"
"Tthe_2057","","NADPH-dependent 7-cyano-7-deazaguanine reductase","5","5","1","1","769","1","1942","","494","497","495","ad4372dd6c0e02f4056d5abcc058849f_8167","af9d275dc4cc622cb84d6cc9ce503ea4_3214","Tsac_2538.p01","5840733bfae2da7714a13ada5e214277_8271","Thert_00495.p01"
"Thethe_02151","","tRNA-His","5","5","1","1","743","1","1916","","76","76","76","ad4372dd6c0e02f4056d5abcc058849f_8251","af9d275dc4cc622cb84d6cc9ce503ea4_3102","Tsac_R0028.r01","5840733bfae2da7714a13ada5e214277_8507","Thert_r048.r01"
"Tthe_2083","","ABC-type transporter, integral membrane subunit","5","5","1","1","736","1","1909","","917","917","917","ad4372dd6c0e02f4056d5abcc058849f_8290","af9d275dc4cc622cb84d6cc9ce503ea4_3068","Tsac_2555.p01","5840733bfae2da7714a13ada5e214277_8546","Thert_00529.p01"
"Thexy_0541","","oxidoreductase domain protein","5","5","1","1","542","1","1715","","1043","1043","1043","ad4372dd6c0e02f4056d5abcc058849f_2604","af9d275dc4cc622cb84d6cc9ce503ea4_2267","Tsac_1261.p01","5840733bfae2da7714a13ada5e214277_2540","Thert_02286.p01"
"Thexy_0728","","phosphotransferase system PTS lactose/cellobiose-specific IIA subunit","5","5","1","1","726","1","1899","","317","317","317","ad4372dd6c0e02f4056d5abcc058849f_8332","af9d275dc4cc622cb84d6cc9ce503ea4_3026","Tsac_2564.p01","5840733bfae2da7714a13ada5e214277_8589","Thert_00542.p01"
"Thethe_02173","","phosphotransferase system lactose/cellobiose-specific IIB subunit","5","5","1","1","724","1","1897","","326","326","326","ad4372dd6c0e02f4056d5abcc058849f_8341","af9d275dc4cc622cb84d6cc9ce503ea4_3018","Tsac_2566.p01","5840733bfae2da7714a13ada5e214277_8598","Thert_00544.p01"
"Thexy_0707","","GMP synthase (glutamine-hydrolyzing)","5","5","1","1","705","1","1878","","1538","1538","1538","ad4372dd6c0e02f4056d5abcc058849f_8420","af9d275dc4cc622cb84d6cc9ce503ea4_2938","Tsac_2587.p01","5840733bfae2da7714a13ada5e214277_8685","Thert_00602.p01"
"Thexy_0706","","inosine-5'-monophosphate dehydrogenase","5","5","1","1","704","1","1877","","1454","1454","1454","ad4372dd6c0e02f4056d5abcc058849f_8424","af9d275dc4cc622cb84d6cc9ce503ea4_2934","Tsac_2588.p01","5840733bfae2da7714a13ada5e214277_8689","Thert_00603.p01"
"Tthe_2118","","10 kDa chaperonin","5","5","1","1","702","1","1875","","284","284","284","ad4372dd6c0e02f4056d5abcc058849f_8432","af9d275dc4cc622cb84d6cc9ce503ea4_2926","Tsac_2590.p01","5840733bfae2da7714a13ada5e214277_8697","Thert_00606.p01"
"Tsac_2632","","Protein translocase subunit secA","5","5","1","1","657","1","1830","","2684","2687","2685","ad4372dd6c0e02f4056d5abcc058849f_8628","af9d275dc4cc622cb84d6cc9ce503ea4_2742","Tsac_2632.p01","5840733bfae2da7714a13ada5e214277_8882","Thert_00660.p01"
"Tthe_2175","","polar amino acid ABC transporter, inner membrane subunit","5","5","1","1","649","1","1822","","662","662","662","ad4372dd6c0e02f4056d5abcc058849f_8660","af9d275dc4cc622cb84d6cc9ce503ea4_2710","Tsac_2654.p01","5840733bfae2da7714a13ada5e214277_8915","Thert_00669.p01"
"Tsac_2656","","hypothetical protein","5","5","1","1","1774","1","531","","194","194","194","ad4372dd6c0e02f4056d5abcc058849f_8669","af9d275dc4cc622cb84d6cc9ce503ea4_7679","Tsac_2656.p01","5840733bfae2da7714a13ada5e214277_8924","Thert_00672.p01"
"Thethe_00661","","Ribulokinase","5","5","1","1","556","1","1729","","1694","1694","1694","ad4372dd6c0e02f4056d5abcc058849f_2694","af9d275dc4cc622cb84d6cc9ce503ea4_2324","Tsac_1284.p01","5840733bfae2da7714a13ada5e214277_2612","Thert_02317.p01"
"Tthe_2203","","S-adenosylmethionine synthetase","5","5","1","1","1738","1","495","","1187","1190","1187","ad4372dd6c0e02f4056d5abcc058849f_8773","af9d275dc4cc622cb84d6cc9ce503ea4_7823","Tsac_0002.p01","5840733bfae2da7714a13ada5e214277_9021","Thert_00709.p01"
"Tsac_R0055","","tRNA-Pro","5","5","1","1","1733","1","490","","75","75","75","ad4372dd6c0e02f4056d5abcc058849f_8794","af9d275dc4cc622cb84d6cc9ce503ea4_7840","Tsac_R0055.r01","5840733bfae2da7714a13ada5e214277_9038","Thert_r043.r01"
"Thert_02318","","L-ribulose-5-phosphate 4-epimerase","5","5","1","1","557","1","1730","","641","641","641","ad4372dd6c0e02f4056d5abcc058849f_2698","af9d275dc4cc622cb84d6cc9ce503ea4_2328","Tsac_1285.p01","5840733bfae2da7714a13ada5e214277_2616","Thert_02318.p01"
"Tsac_0012","","transcriptional regulator, LacI family","5","5","1","1","1725","1","482","","1010","1010","1010","ad4372dd6c0e02f4056d5abcc058849f_8827","af9d275dc4cc622cb84d6cc9ce503ea4_7873","Tsac_0012.p01","5840733bfae2da7714a13ada5e214277_9077","Thert_00720.p01"
"Thexy_0557","","L-fucose isomerase-like protein protein","5","5","1","1","558","1","1731","","1481","1481","1481","ad4372dd6c0e02f4056d5abcc058849f_2702","af9d275dc4cc622cb84d6cc9ce503ea4_2332","Tsac_1286.p01","5840733bfae2da7714a13ada5e214277_2620","Thert_02319.p01"
"Tsac_0028","","aconitate hydratase","5","5","1","1","1710","1","467","","1922","1925","1923","ad4372dd6c0e02f4056d5abcc058849f_8884","af9d275dc4cc622cb84d6cc9ce503ea4_7934","Tsac_0028.p01","5840733bfae2da7714a13ada5e214277_9146","Thert_00740.p01"
"Tsac_0029","","homocitrate synthase","5","5","1","1","1709","1","466","","1151","1151","1151","ad4372dd6c0e02f4056d5abcc058849f_8888","af9d275dc4cc622cb84d6cc9ce503ea4_7938","Tsac_0029.p01","5840733bfae2da7714a13ada5e214277_9150","Thert_00742.p01"
"Tthe_2236","","ABC-type transporter, integral membrane subunit","5","5","1","1","1699","1","456","","923","923","923","ad4372dd6c0e02f4056d5abcc058849f_8917","af9d275dc4cc622cb84d6cc9ce503ea4_7979","Tsac_0039.p01","5840733bfae2da7714a13ada5e214277_9194","Thert_00752.p01"
"Thexy_1943","","pyruvate ferredoxin/flavodoxin oxidoreductase","5","5","1","1","1692","1","449","","3527","3527","3527","ad4372dd6c0e02f4056d5abcc058849f_8946","af9d275dc4cc622cb84d6cc9ce503ea4_8009","Tsac_0046.p01","5840733bfae2da7714a13ada5e214277_9224","Thert_00761.p01"
"Tsac_1323","","metal ion transporter, NRAMP family","5","5","1","1","605","1","1778","","1271","1271","1271","ad4372dd6c0e02f4056d5abcc058849f_2948","af9d275dc4cc622cb84d6cc9ce503ea4_2526","Tsac_1323.p01","5840733bfae2da7714a13ada5e214277_2825","Thert_02417.p01"
"Tsac_0166","","ABC-type transporter, integral membrane subunit","5","5","1","1","1589","1","346","","881","881","881","ad4372dd6c0e02f4056d5abcc058849f_9558","af9d275dc4cc622cb84d6cc9ce503ea4_8441","Tsac_0166.p01","5840733bfae2da7714a13ada5e214277_9750","Thert_00934.p01"
"Tsac_0198","","band 7 protein","5","5","1","1","1569","1","326","","932","932","932","ad4372dd6c0e02f4056d5abcc058849f_9648","af9d275dc4cc622cb84d6cc9ce503ea4_8525","Tsac_0198.p01","5840733bfae2da7714a13ada5e214277_9843","Thert_00959.p01"
