CF61_00595	CF61_00595
CF61_01145	CF61_01145
CF61_07900	CF61_07900
CF61_09200	CF61_09200
CF61_09200	CF59_20980
CF61_09200	BU34_21575
CF61_09200	CF58_21005
CF61_09200	ECONIH1_13915
CF61_09200	CF57_08490
CF61_09200	CF60_20645
CF61_09200	HW42_16830
CF61_09430	CF61_09430
CF61_09430	CF61_29905
CF61_09430	CF59_00840
CF61_09430	CF59_20750
CF61_09430	BU34_18190
CF61_09430	BU34_21340
CF61_09430	CF58_00830
CF61_09430	CF58_20775
CF61_09430	ECONIH1_13745
CF61_09430	ECONIH1_23260
CF61_09430	CF57_08720
CF61_09430	CF57_29210
CF61_09430	CF60_00835
CF61_09430	CF60_20420
CF61_09430	HW42_01275
CF61_09430	HW42_16665
CF61_11845	CF61_11845
CF61_11850	CF61_11850
CF61_11855	CF61_11855
CF61_11860	CF61_11860
CF61_11860	CF57_11130
CF61_13015	CF61_13015
CF61_20450	CF61_00800
CF61_20450	CF61_20450
CF61_24150	CF61_24150
CF61_24150	BU34_07040
CF61_24150	CF57_23460
CF61_25935	CF61_25935
CF61_25935	CF59_20560
CF61_25935	BU34_09315
CF61_25935	CF58_20585
CF61_25935	CF57_25720
CF59_00970	CF59_00970
CF59_17550	CF59_17550
CF59_17550	CF58_17595
CF59_17550	ECONIH1_11190
CF59_17550	CF60_17330
CF59_17550	HW42_14005
CF59_18160	CF59_18160
CF59_18160	CF58_18205
CF59_30665	CF59_30665
BU34_14395	BU34_14395
BU34_15165	BU34_15165
BU34_21145	BU34_21145
BU34_22940	BU34_14400
BU34_22940	BU34_22940
BU34_26155	BU34_26155
BU34_26550	BU34_26550
BU34_28380	CF61_02420
BU34_28380	BU34_28380
CF58_03375	CF59_03425
CF58_03375	CF58_03375
CF58_03400	CF59_03450
CF58_03400	CF58_03400
CF58_05660	CF59_05710
CF58_05660	CF58_05660
CF58_06655	CF59_06705
CF58_06655	CF58_06655
CF58_07945	CF59_08020
CF58_07945	CF58_07945
CF58_07970	CF59_08015
CF58_07970	CF59_08025
CF58_07970	CF59_08045
CF58_07970	CF58_07940
CF58_07970	CF58_07950
CF58_07970	CF58_07970
CF58_07970	ECONIH1_03280
CF58_07970	CF60_08035
CF58_07970	CF60_08045
CF58_07970	CF60_08085
CF58_09440	CF59_09480
CF58_09440	CF58_09440
CF58_12860	CF59_12910
CF58_12860	CF58_12860
CF58_13300	CF59_07835
CF58_13300	CF59_30845
CF58_13300	CF58_07785
CF58_13300	CF58_13300
CF58_13300	CF58_14050
CF58_13300	ECONIH1_03190
CF58_13300	ECONIH1_08970
CF58_13300	ECONIH1_24140
CF58_13300	CF60_07835
CF58_13300	CF60_13750
CF58_13300	HW42_06600
CF58_13300	HW42_09005
CF58_13300	HW42_10730
CF58_13355	CF58_13355
CF58_13360	CF59_13405
CF58_13360	CF58_13360
CF58_13365	CF59_13410
CF58_13365	CF58_13365
CF58_13365	CF58_14035
CF58_13365	CF58_14040
CF58_13370	CF59_13415
CF58_13370	CF58_13370
CF58_13375	CF59_13420
CF58_13375	CF58_13375
CF58_13380	CF59_13425
CF58_13380	CF58_13380
CF58_13385	CF59_13430
CF58_13385	CF58_13385
CF58_13430	CF59_13465
CF58_13430	CF58_13430
CF58_13435	CF59_13470
CF58_13435	CF58_13435
CF58_13440	CF59_13475
CF58_13440	CF58_13440
CF58_13445	CF59_13480
CF58_13445	CF58_13445
CF58_13450	CF59_13485
CF58_13450	CF58_13450
CF58_13465	CF59_13500
CF58_13465	CF58_13465
CF58_13465	CF60_13485
CF58_13505	CF59_13540
CF58_13505	CF58_13505
CF58_13510	CF58_13510
CF58_13515	CF59_13550
CF58_13515	CF58_13515
CF58_13520	CF59_13555
CF58_13520	CF58_13520
CF58_13535	CF59_13570
CF58_13535	CF58_13535
CF58_13540	CF59_13575
CF58_13540	CF58_13540
CF58_13545	CF59_13580
CF58_13545	CF58_13545
CF58_13570	CF59_13605
CF58_13570	CF58_13570
CF58_13575	CF58_13575
CF58_13580	CF58_13580
CF58_13585	CF59_13610
CF58_13585	CF58_13585
CF58_13595	CF59_13620
CF58_13595	CF58_13595
CF58_13600	CF59_13625
CF58_13600	CF58_13600
CF58_13635	CF59_13660
CF58_13635	CF58_13635
CF58_13640	CF61_26130
CF58_13640	CF59_13665
CF58_13640	BU34_09505
CF58_13640	CF58_13640
CF58_13640	CF57_25910
CF58_13695	CF59_13720
CF58_13695	CF58_13695
CF58_13700	CF58_13700
CF58_13710	CF59_13735
CF58_13710	CF58_13710
CF58_13715	CF59_13740
CF58_13715	CF58_13715
CF58_13720	CF59_13745
CF58_13720	CF58_13720
CF58_13725	CF59_13750
CF58_13725	CF58_13725
CF58_13730	CF59_13755
CF58_13730	CF58_13730
CF58_13735	CF59_13760
CF58_13735	CF58_13735
CF58_13740	CF59_13765
CF58_13740	CF58_13740
CF58_13755	CF58_13755
CF58_13760	CF59_13785
CF58_13760	CF58_13760
CF58_13765	CF59_13790
CF58_13765	CF58_13765
CF58_13795	CF59_13820
CF58_13795	CF58_13795
CF58_13800	CF59_13825
CF58_13800	CF58_13800
CF58_13905	CF59_13930
CF58_13905	CF58_13905
CF58_13910	CF59_13935
CF58_13910	CF58_13910
CF58_13915	CF59_13940
CF58_13915	CF58_13915
CF58_13920	CF59_13945
CF58_13920	CF58_13920
CF58_13925	CF59_13950
CF58_13925	CF58_13925
CF58_13930	CF59_13955
CF58_13930	CF58_13930
CF58_13935	CF59_13960
CF58_13935	CF58_13935
CF58_13940	CF59_13965
CF58_13940	CF58_13940
CF58_13945	CF59_13970
CF58_13945	CF58_13945
CF58_13950	CF59_13975
CF58_13950	CF58_13950
CF58_13965	CF59_13990
CF58_13965	CF58_13965
CF58_13990	CF59_14015
CF58_13990	CF58_13990
CF58_13995	CF58_13995
CF58_14000	CF58_13345
CF58_14000	CF58_14000
CF58_14005	CF58_13350
CF58_14005	CF58_14005
CF58_18210	CF58_18210
CF58_18215	CF58_18215
CF58_18220	CF59_18165
CF58_18220	CF58_18220
CF58_18225	CF59_18170
CF58_18225	CF58_18225
CF58_18230	CF59_18175
CF58_18230	CF58_18230
CF58_20245	CF61_02980
CF58_20245	CF61_10615
CF58_20245	CF61_24770
CF58_20245	CF59_03490
CF58_20245	CF59_04905
CF58_20245	CF59_19850
CF58_20245	CF59_19855
CF58_20245	CF59_20220
CF58_20245	CF59_27420
CF58_20245	BU34_07690
CF58_20245	BU34_11015
CF58_20245	BU34_20150
CF58_20245	CF58_03440
CF58_20245	CF58_04855
CF58_20245	CF58_19875
CF58_20245	CF58_19880
CF58_20245	CF58_20245
CF58_20245	CF58_27440
CF58_20245	ECONIH1_00705
CF58_20245	ECONIH1_13115
CF58_20245	ECONIH1_13120
CF58_20245	ECONIH1_13420
CF58_20245	ECONIH1_19910
CF58_20245	ECONIH1_22465
CF58_20245	ECONIH1_25975
CF58_20245	CF57_02220
CF58_20245	CF57_09905
CF58_20245	CF57_24100
CF58_20245	CF60_03485
CF58_20245	CF60_04895
CF58_20245	CF60_19590
CF58_20245	CF60_19595
CF58_20245	CF60_27055
CF58_20245	CF60_31035
CF58_20245	HW42_03285
CF58_20245	HW42_04250
CF58_20245	HW42_16000
CF58_20245	HW42_16290
CF58_20245	HW42_24310
CF58_20565	CF59_20540
CF58_20565	CF58_20565
CF58_20625	CF59_20600
CF58_20625	CF58_20625
CF58_24705	CF59_24690
CF58_24705	CF58_24705
CF58_24710	CF59_24695
CF58_24710	CF58_24710
CF58_27560	CF59_27540
CF58_27560	CF58_27560
CF58_27560	CF60_27170
CF58_29835	CF59_29815
CF58_29835	CF58_29835
CF58_29835	ECONIH1_21895
CF58_30725	CF58_30725
CF58_30770	CF58_30770
CF58_30960	CF58_30960
CF58_30970	CF58_30970
CF58_30975	CF59_30770
CF58_30975	CF58_30845
CF58_30975	CF58_30975
CF58_31030	CF59_30755
CF58_31030	CF58_30850
CF58_31030	CF58_30920
CF58_31030	CF58_30980
CF58_31030	CF58_31030
CF58_31035	CF59_30660
CF58_31035	CF59_30760
CF58_31035	CF58_30855
CF58_31035	CF58_31035
CF58_31040	CF59_30655
CF58_31040	CF59_30670
CF58_31040	CF59_30765
CF58_31040	CF58_30690
CF58_31040	CF58_30870
CF58_31040	CF58_30985
CF58_31040	CF58_31040
CF58_31205	CF59_30750
CF58_31205	CF58_30700
CF58_31205	CF58_31205
CF58_31205	CF60_30945
ECONIH1_00005	ECONIH1_00005
ECONIH1_00025	ECONIH1_00025
ECONIH1_00185	ECONIH1_00185
ECONIH1_00275	ECONIH1_00275
ECONIH1_00285	ECONIH1_00285
ECONIH1_00290	ECONIH1_00290
ECONIH1_00425	ECONIH1_00425
ECONIH1_00445	ECONIH1_00445
ECONIH1_00585	ECONIH1_00585
ECONIH1_01160	CF61_24290
ECONIH1_01160	CF59_05405
ECONIH1_01160	BU34_07180
ECONIH1_01160	CF58_05355
ECONIH1_01160	ECONIH1_01160
ECONIH1_01160	CF57_23600
ECONIH1_01160	CF60_05395
ECONIH1_01180	ECONIH1_01180
ECONIH1_01200	CF59_05455
ECONIH1_01200	CF58_05405
ECONIH1_01200	ECONIH1_01200
ECONIH1_01230	ECONIH1_01230
ECONIH1_01240	ECONIH1_01240
ECONIH1_01345	ECONIH1_01345
ECONIH1_01350	ECONIH1_01350
ECONIH1_01425	ECONIH1_01425
ECONIH1_01430	ECONIH1_01430
ECONIH1_01450	ECONIH1_01450
ECONIH1_01520	ECONIH1_01520
ECONIH1_01525	ECONIH1_01525
ECONIH1_01530	ECONIH1_01530
ECONIH1_01575	ECONIH1_01575
ECONIH1_01580	ECONIH1_01580
ECONIH1_01585	ECONIH1_01585
ECONIH1_01590	ECONIH1_01590
ECONIH1_01595	ECONIH1_01595
ECONIH1_01600	ECONIH1_01600
ECONIH1_01605	ECONIH1_01605
ECONIH1_01610	ECONIH1_01610
ECONIH1_01615	ECONIH1_01615
ECONIH1_01620	ECONIH1_01620
ECONIH1_01625	ECONIH1_01625
ECONIH1_01630	ECONIH1_01630
ECONIH1_01635	ECONIH1_01635
ECONIH1_01640	ECONIH1_01640
ECONIH1_01645	ECONIH1_01645
ECONIH1_01665	ECONIH1_01665
ECONIH1_01675	ECONIH1_01675
ECONIH1_01680	ECONIH1_01680
ECONIH1_01685	ECONIH1_01685
ECONIH1_01690	ECONIH1_01690
ECONIH1_01710	ECONIH1_01710
ECONIH1_02520	ECONIH1_02520
ECONIH1_02605	ECONIH1_02605
ECONIH1_02750	ECONIH1_02750
ECONIH1_02755	ECONIH1_02755
ECONIH1_02925	ECONIH1_02925
ECONIH1_02985	CF61_09670
ECONIH1_02985	CF59_07615
ECONIH1_02985	BU34_21095
ECONIH1_02985	CF58_07565
ECONIH1_02985	ECONIH1_02985
ECONIH1_02985	CF57_08960
ECONIH1_02985	CF60_07615
ECONIH1_03010	ECONIH1_03010
ECONIH1_03020	ECONIH1_03020
ECONIH1_03035	ECONIH1_03035
ECONIH1_03050	CF61_20890
ECONIH1_03050	CF59_08900
ECONIH1_03050	BU34_03785
ECONIH1_03050	CF58_08830
ECONIH1_03050	ECONIH1_03050
ECONIH1_03050	ECONIH1_03960
ECONIH1_03050	CF57_20200
ECONIH1_03050	CF60_08940
ECONIH1_03050	HW42_07345
ECONIH1_03055	ECONIH1_03055
ECONIH1_03075	ECONIH1_03075
ECONIH1_03080	ECONIH1_03080
ECONIH1_03100	ECONIH1_03100
ECONIH1_03275	ECONIH1_03275
ECONIH1_03595	ECONIH1_03595
ECONIH1_03800	ECONIH1_03800
ECONIH1_03855	ECONIH1_03855
ECONIH1_03905	ECONIH1_03905
ECONIH1_03920	ECONIH1_03920
ECONIH1_04005	ECONIH1_04005
ECONIH1_04010	ECONIH1_04010
ECONIH1_04015	ECONIH1_04015
ECONIH1_04020	ECONIH1_04020
ECONIH1_04025	ECONIH1_04025
ECONIH1_04030	ECONIH1_04030
ECONIH1_04035	ECONIH1_04035
ECONIH1_04040	ECONIH1_04040
ECONIH1_04045	ECONIH1_04045
ECONIH1_04105	ECONIH1_04105
ECONIH1_04110	ECONIH1_04110
ECONIH1_04115	ECONIH1_04115
ECONIH1_04120	ECONIH1_04120
ECONIH1_04125	ECONIH1_04125
ECONIH1_04130	ECONIH1_04130
ECONIH1_04135	CF59_09050
ECONIH1_04135	CF58_08980
ECONIH1_04135	ECONIH1_04135
ECONIH1_04135	CF60_09115
ECONIH1_04140	ECONIH1_04140
ECONIH1_04155	CF59_09070
ECONIH1_04155	CF58_09000
ECONIH1_04155	ECONIH1_04155
ECONIH1_04160	ECONIH1_04160
ECONIH1_04165	ECONIH1_04165
ECONIH1_04170	ECONIH1_04170
ECONIH1_04175	ECONIH1_04175
ECONIH1_04190	ECONIH1_04190
ECONIH1_04215	ECONIH1_04215
ECONIH1_04355	ECONIH1_04355
ECONIH1_04460	ECONIH1_04460
ECONIH1_04550	ECONIH1_04550
ECONIH1_04665	ECONIH1_04665
ECONIH1_04700	ECONIH1_04700
ECONIH1_04780	ECONIH1_04780
ECONIH1_04785	ECONIH1_04785
ECONIH1_04850	ECONIH1_04850
ECONIH1_04855	ECONIH1_04855
ECONIH1_04860	ECONIH1_04860
ECONIH1_04865	ECONIH1_04865
ECONIH1_04870	ECONIH1_04870
ECONIH1_04875	ECONIH1_04875
ECONIH1_04880	ECONIH1_04880
ECONIH1_04890	ECONIH1_04890
ECONIH1_04895	ECONIH1_04895
ECONIH1_04900	ECONIH1_04900
ECONIH1_04905	ECONIH1_04905
ECONIH1_04910	ECONIH1_04910
ECONIH1_04915	ECONIH1_04915
ECONIH1_04930	CF59_18615
ECONIH1_04930	CF58_18670
ECONIH1_04930	ECONIH1_04930
ECONIH1_04930	CF60_18390
ECONIH1_04940	ECONIH1_04940
ECONIH1_04945	ECONIH1_04945
ECONIH1_04955	ECONIH1_04955
ECONIH1_04960	ECONIH1_04960
ECONIH1_04965	ECONIH1_04965
ECONIH1_04970	ECONIH1_04970
ECONIH1_04980	ECONIH1_04980
ECONIH1_05005	CF59_18500
ECONIH1_05005	CF58_30800
ECONIH1_05005	CF58_30815
ECONIH1_05005	ECONIH1_01650
ECONIH1_05005	ECONIH1_05005
ECONIH1_05005	CF60_18300
ECONIH1_05025	ECONIH1_05025
ECONIH1_05035	ECONIH1_05035
ECONIH1_05050	CF59_18450
ECONIH1_05050	CF58_18505
ECONIH1_05050	ECONIH1_05050
ECONIH1_05050	CF60_18235
ECONIH1_05160	CF59_09940
ECONIH1_05160	CF58_09895
ECONIH1_05160	ECONIH1_05160
ECONIH1_05165	CF59_09945
ECONIH1_05165	CF58_09900
ECONIH1_05165	ECONIH1_05165
ECONIH1_05225	ECONIH1_05225
ECONIH1_05265	CF59_10070
ECONIH1_05265	CF58_10025
ECONIH1_05265	ECONIH1_05265
ECONIH1_05265	CF60_10165
ECONIH1_05270	ECONIH1_05270
ECONIH1_05275	ECONIH1_05275
ECONIH1_05285	CF61_30010
ECONIH1_05285	CF59_00730
ECONIH1_05285	BU34_18295
ECONIH1_05285	CF58_00720
ECONIH1_05285	ECONIH1_05285
ECONIH1_05285	ECONIH1_23185
ECONIH1_05285	CF57_29315
ECONIH1_05285	CF60_00725
ECONIH1_05290	ECONIH1_05290
ECONIH1_05300	ECONIH1_05295
ECONIH1_05300	ECONIH1_05300
ECONIH1_05305	ECONIH1_05305
ECONIH1_05310	ECONIH1_05310
ECONIH1_05315	ECONIH1_05315
ECONIH1_05325	ECONIH1_05325
ECONIH1_05330	ECONIH1_05330
ECONIH1_05370	ECONIH1_05370
ECONIH1_05375	ECONIH1_05375
ECONIH1_05380	ECONIH1_05380
ECONIH1_05385	ECONIH1_05385
ECONIH1_05390	ECONIH1_05390
ECONIH1_05410	ECONIH1_05410
ECONIH1_05415	ECONIH1_05415
