"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_000597845.1","GCA_000599625.1","GCA_000599645.1","GCA_000599665.1","GCA_000599685.1","GCA_000599705.1","GCA_000784925.1","GCA_000801165.1","GCA_000801185.2","GCA_000814145.2"
"CF59_26235","","phospholipid ABC transporter substrate-binding protein","10","10","1","1","624","1","2656","","293","293","293","BU34_12325.p01","CF57_03540.p01","CF61_04315.p01","CF58_26250.p01","CF59_26235.p01","CF60_25780.p01","ECONIH1_18855.p01","HW42_20805.p01","HW43_20915.p01","RR31_16740.p01"
"CF58_26240","","hypothetical protein","10","10","1","1","625","1","2657","","254","269","264","BU34_12335.p01","CF57_03550.p01","CF61_04325.p01","CF58_26240.p01","CF59_26225.p01","CF60_25770.p01","ECONIH1_18850.p01","HW42_20800.p01","HW43_20910.p01","RR31_16735.p01"
"CF57_03560","","transcriptional regulator","10","10","1","1","627","1","2659","","278","278","278","BU34_12345.p01","CF57_03560.p01","CF61_04335.p01","CF58_26230.p01","CF59_26215.p01","CF60_25760.p01","ECONIH1_18840.p01","HW42_20790.p01","HW43_20900.p01","RR31_16725.p01"
"ECONIH1_18750","","ribosome maturation protein RimP","10","10","1","1","644","1","2676","","422","452","449","BU34_12475.p01","CF57_03690.p01","CF61_04465.p01","CF58_26105.p01","CF59_26090.p01","CF60_25635.p01","ECONIH1_18750.p01","HW42_20700.p01","HW43_20810.p01","RR31_16635.p01"
"RR31_16555","","GIY-YIG nuclease superfamily protein","10","10","1","1","659","1","2691","","302","302","302","BU34_12575.p01","CF57_03790.p01","CF61_04565.p01","CF58_26005.p01","CF59_25990.p01","CF60_25535.p01","ECONIH1_18670.p01","HW42_20625.p01","HW43_20565.p01","RR31_16555.p01"
"BU34_12595","","membrane protein","10","10","1","1","663","1","2695","","1040","1040","1040","BU34_12595.p01","CF57_03810.p01","CF61_04585.p01","CF58_25980.p01","CF59_25965.p01","CF60_25510.p01","ECONIH1_18650.p01","HW42_20605.p01","HW43_20585.p01","RR31_16535.p01"
"RR31_16520","","hypothetical protein","10","10","1","1","666","1","2698","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","395","395","395","BU34_12610.p01","CF57_03825.p01","CF61_04600.p01","CF58_25965.p01","CF59_25950.p01","CF60_25495.p01","ECONIH1_18635.p01","HW42_20590.p01","HW43_20600.p01","RR31_16520.p01"
"CF61_04660","","hypothetical protein","10","10","1","1","674","1","2706","","278","791","483","BU34_12670.p01","CF57_03885.p01","CF61_04660.p01","CF58_25945.p01","CF59_25930.p01","CF60_25475.p01","ECONIH1_18615.p01","HW42_20550.p01","HW43_20640.p01","RR31_16480.p01"
"CF60_25470","","PTS system N-acetylgalactosamine-specific transporter subunit IIC","10","10","1","1","675","1","2707","","629","803","785","BU34_12675.p01","CF57_03890.p01","CF61_04665.p01","CF58_25940.p01","CF59_25925.p01","CF60_25470.p01","ECONIH1_18610.p01","HW42_20545.p01","HW43_20645.p01","RR31_16475.p01"
"ECONIH1_18590","","N-acetylglucosamine-6-phosphate deacetylase","10","10","1","1","679","1","2711","","1133","1133","1133","BU34_12705.p01","CF57_03920.p01","CF61_04695.p01","CF58_25910.p01","CF59_25895.p01","CF60_25440.p01","ECONIH1_18590.p01","HW42_20525.p01","HW43_20665.p01","RR31_16450.p01"
"CF58_25870","","toxin YhaV","10","10","1","1","686","1","2718","","464","464","464","BU34_12745.p01","CF57_03960.p01","CF61_04735.p01","CF58_25870.p01","CF59_25855.p01","CF60_25400.p01","ECONIH1_18555.p01","HW42_20490.p01","HW43_20700.p01","RR31_16415.p01"
"CF58_25745","","membrane protein","10","10","1","1","702","1","2734","","386","1331","1236","BU34_12875.p01","CF57_04090.p01","CF61_04865.p01","CF58_25745.p01","CF59_25730.p01","CF60_25280.p01","ECONIH1_18460.p01","HW42_20400.p01","HW43_20485.p01","RR31_16330.p01"
"BU34_12960","","EnvZ/OmpR regulon moderator","10","10","1","1","714","1","2746","","368","383","381","BU34_12960.p01","CF57_04175.p01","CF61_04950.p01","CF58_25655.p01","CF59_25640.p01","CF60_25190.p01","ECONIH1_18395.p01","HW42_20335.p01","HW43_20420.p01","RR31_16265.p01"
"BU34_13060","","hypothetical protein","10","10","1","1","729","1","2761","","503","503","503","BU34_13060.p01","CF57_04275.p01","CF61_05050.p01","CF58_25575.p01","CF59_25560.p01","CF60_25110.p01","ECONIH1_18320.p01","HW42_20255.p01","HW43_20345.p01","RR31_16210.p01"
"BU34_13085","","2,4-dienoyl-CoA reductase","10","10","1","1","734","1","2766","","2018","2018","2018","BU34_13085.p01","CF57_04300.p01","CF61_05075.p01","CF58_25550.p01","CF59_25535.p01","CF60_25085.p01","ECONIH1_18295.p01","HW42_20240.p01","HW43_20330.p01","RR31_16185.p01"
"CF59_25525","","alpha-glucosidase","10","10","1","1","735","1","2767","","2351","2351","2351","BU34_13110.p01","CF57_04325.p01","CF61_05100.p01","CF58_25540.p01","CF59_25525.p01","CF60_25075.p01","ECONIH1_18290.p01","HW42_20235.p01","HW43_20325.p01","RR31_16180.p01"
"BU34_13115","","hypothetical protein","10","10","1","1","736","1","2768","","1070","1070","1070","BU34_13115.p01","CF57_04330.p01","CF61_05105.p01","CF58_25535.p01","CF59_25520.p01","CF60_25070.p01","ECONIH1_18285.p01","HW42_20230.p01","HW43_20320.p01","RR31_16175.p01"
"RR31_16155","","transcriptional regulator","10","10","1","1","740","1","2772","","983","983","983","BU34_13140.p01","CF57_04355.p01","CF61_05130.p01","CF58_25510.p01","CF59_25495.p01","CF60_25045.p01","ECONIH1_18265.p01","HW42_20210.p01","HW43_20300.p01","RR31_16155.p01"
"CF58_25340","","membrane protein","10","10","1","1","767","1","2799","","1661","1661","1661","BU34_13315.p01","CF57_04530.p01","CF61_05305.p01","CF58_25340.p01","CF59_25325.p01","CF60_24875.p01","ECONIH1_18135.p01","HW42_20090.p01","HW43_20180.p01","RR31_16020.p01"
"CF61_05945","","hypothetical protein","10","10","1","1","875","1","2907","","1007","1007","1007","BU34_13925.p01","CF57_05140.p01","CF61_05945.p01","CF58_24565.p01","CF59_24550.p01","CF60_24115.p01","ECONIH1_17030.p01","HW42_19570.p01","HW43_19285.p01","RR31_15600.p01"
"HW42_19550","","coproporphyrinogen III oxidase","10","10","1","1","876","1","2908","","1136","1136","1136","BU34_13935.p01","CF57_05150.p01","CF61_05955.p01","CF58_24545.p01","CF59_24530.p01","CF60_24095.p01","ECONIH1_17010.p01","HW42_19550.p01","HW43_19280.p01","RR31_15595.p01"
