"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_001399775.1","GCA_018771645.1","GCA_028472205.1"
"aroH","","chorismate mutase","3","3","1","1","2076","1","1070","","368","368","368","TO73_1081.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_8997","1147bcd2e8bc16dabca75e70b6a67ef2_4398"
"GO600_05610","","tRNA-Pro","3","3","1","1","2081","1","1065","","73","76","75","TO73_1087.r01","1a7f36f5a39ec6a4fe158fba3bbbf404_9025","1147bcd2e8bc16dabca75e70b6a67ef2_4378"
"rpsP","","30S ribosomal protein S16","3","3","1","1","2118","1","1028","","254","263","257","TO73_1120.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_9181","1147bcd2e8bc16dabca75e70b6a67ef2_4228"
"clpP","","ATP-dependent Clp endopeptidase proteolytic subunit ClpP","3","3","1","1","2135","1","1011","","584","584","584","TO73_1137.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_9247","1147bcd2e8bc16dabca75e70b6a67ef2_4160"
"GO600_05325","","tRNA-Leu","3","3","1","1","2137","1","1009","","81","84","83","TO73_1139.r01","1a7f36f5a39ec6a4fe158fba3bbbf404_9254","1147bcd2e8bc16dabca75e70b6a67ef2_4152"
"KNN15_11780","","tRNA-His","3","3","1","1","2138","1","1008","","73","76","75","TO73_1141.r01","1a7f36f5a39ec6a4fe158fba3bbbf404_9257","1147bcd2e8bc16dabca75e70b6a67ef2_4149"
"rpmE","","50S ribosomal protein L31","3","3","1","1","2169","1","977","","215","290","240","TO73_1164.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_9383","1147bcd2e8bc16dabca75e70b6a67ef2_4024"
"mraZ","","division/cell wall cluster transcriptional repressor MraZ","3","3","1","1","2171","1","975","","434","434","434","TO73_1220.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_9625","1147bcd2e8bc16dabca75e70b6a67ef2_4013"
"TO73_1275","","ABC transporter permease subunit","3","3","1","1","934","1","934","","188","806","600","TO73_1275.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_9766","1147bcd2e8bc16dabca75e70b6a67ef2_3844"
"ilvN","","acetolactate synthase small subunit","3","3","1","1","1698","1","2030","","512","512","512","TO73_1342.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_7183","1147bcd2e8bc16dabca75e70b6a67ef2_5944"
"GO600_07725","","AAA domain-containing protein","3","3","1","1","1673","1","2005","","2204","2210","2208","TO73_1363.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_7107","1147bcd2e8bc16dabca75e70b6a67ef2_6044"
"miaB","","tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB","3","3","1","1","715","1","715","","1322","1322","1322","TO73_1500.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_610","1147bcd2e8bc16dabca75e70b6a67ef2_2936"
"glpX","","class II fructose-bisphosphatase","3","3","1","1","693","1","693","","962","968","966","TO73_1524.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_701","1147bcd2e8bc16dabca75e70b6a67ef2_2845"
"KNN15_00995","","succinate dehydrogenase iron-sulfur subunit","3","3","1","1","680","1","680","","698","698","698","TO73_1535.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_776","1147bcd2e8bc16dabca75e70b6a67ef2_2791"
"TO73_1536","","succinate dehydrogenase flavoprotein subunit","3","3","1","1","679","1","679","","1709","1733","1725","TO73_1536.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_780","1147bcd2e8bc16dabca75e70b6a67ef2_2787"
"sdhC","","succinate dehydrogenase, cytochrome b556 subunit","3","3","1","1","675","1","675","","365","365","365","TO73_1538.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_788","1147bcd2e8bc16dabca75e70b6a67ef2_2771"
"KNN15_07650","","tRNA-Ala","3","3","1","1","1487","1","1819","","72","75","74","TO73_1570.r01","1a7f36f5a39ec6a4fe158fba3bbbf404_6008","1147bcd2e8bc16dabca75e70b6a67ef2_6812"
"nuoI","","NADH-quinone oxidoreductase subunit NuoI","3","3","1","1","1474","1","1806","","548","548","548","TO73_1584.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_5957","1147bcd2e8bc16dabca75e70b6a67ef2_6864"
"TO73_1593","","V-type ATP synthase subunit B","3","3","1","1","1731","1","2063","","1436","1436","1436","TO73_1593.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_7346","1147bcd2e8bc16dabca75e70b6a67ef2_5805"
"GO600_07425","","V-type ATP synthase subunit A","3","3","1","1","1730","1","2062","","1736","1736","1736","TO73_1594.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_7342","1147bcd2e8bc16dabca75e70b6a67ef2_5809"
"rho","","transcription termination factor Rho","3","3","1","1","861","1","861","","1280","1283","1282","TO73_1652.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_10048","1147bcd2e8bc16dabca75e70b6a67ef2_3542"
"GO600_04460","","UMP kinase","3","3","1","1","845","1","845","","704","752","720","TO73_1682.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_66","1147bcd2e8bc16dabca75e70b6a67ef2_3476"
"GO600_03915","","S-adenosylmethionine decarboxylase","3","3","1","1","745","1","745","","389","401","397","TO73_1743.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_480","1147bcd2e8bc16dabca75e70b6a67ef2_3058"
"GO600_08250","","aspartate kinase","3","3","1","1","1573","1","1905","","1217","1217","1217","TO73_1769.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_6676","1147bcd2e8bc16dabca75e70b6a67ef2_6453"
"TO73_1823","","tRNA-Ser","3","3","1","1","635","1","635","","88","91","90","TO73_1823.r01","1a7f36f5a39ec6a4fe158fba3bbbf404_949","1147bcd2e8bc16dabca75e70b6a67ef2_2607"
"GO600_09110","","NADH-quinone oxidoreductase subunit 15","3","3","1","1","1411","1","1743","","389","389","389","TO73_1836.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_5721","1147bcd2e8bc16dabca75e70b6a67ef2_7122"
"KNN15_01350","","dipeptide ABC transporter ATP-binding protein","3","3","1","1","609","1","609","","983","983","983","TO73_1861.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_1054","1147bcd2e8bc16dabca75e70b6a67ef2_2499"
"erpA","","iron-sulfur cluster insertion protein ErpA","3","3","1","1","240","1","240","","380","380","380","TO73_2090.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_2511","1147bcd2e8bc16dabca75e70b6a67ef2_988"
"prs","","ribose-phosphate pyrophosphokinase","3","3","1","1","238","1","238","","932","932","932","TO73_2092.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_2519","1147bcd2e8bc16dabca75e70b6a67ef2_980"
"metK","","methionine adenosyltransferase","3","3","1","1","233","1","233","","1178","1187","1184","TO73_2097.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_2539","1147bcd2e8bc16dabca75e70b6a67ef2_960"
"TO73_2229","","tRNA-Val","3","3","1","1","978","1","1310","","73","76","75","TO73_2229.r01","1a7f36f5a39ec6a4fe158fba3bbbf404_3655","1147bcd2e8bc16dabca75e70b6a67ef2_8897"
"GO600_00515","","hypothetical protein","3","3","1","1","99","1","99","","275","284","281","TO73_2363.p01","1a7f36f5a39ec6a4fe158fba3bbbf404_3126","1147bcd2e8bc16dabca75e70b6a67ef2_401"
